supplier_id,supplier_name,contact_email,city,state,country
1,EverPeak Supply Co 1,contact1@supplierdemo.com,Las Vegas,NV,Canada
2,ZenHaus Supply Co 2,contact2@supplierdemo.com,San Antonio,TX,Canada
3,UrbanEdge Supply Co 3,contact3@supplierdemo.com,Philadelphia,PA,USA
4,EcoSphere Supply Co 4,contact4@supplierdemo.com,Columbus,OH,Canada
5,Northstar Supply Co 5,contact5@supplierdemo.com,Columbus,OH,USA
6,Vividly Supply Co 6,contact6@supplierdemo.com,Miami,FL,Canada
7,CoreFlex Supply Co 7,contact7@supplierdemo.com,Denver,CO,USA
8,SwiftPro Supply Co 8,contact8@supplierdemo.com,Charlotte,NC,Mexico
9,SwiftPro Supply Co 9,contact9@supplierdemo.com,Fort Worth,TX,Mexico
10,TerraWorks Supply Co 10,contact10@supplierdemo.com,Las Vegas,NV,USA
11,NovaCraft Supply Co 11,contact11@supplierdemo.com,San Diego,CA,Canada
12,Lumina Supply Co 12,contact12@supplierdemo.com,Boston,MA,USA
13,EverPeak Supply Co 13,contact13@supplierdemo.com,Phoenix,AZ,USA
14,EcoSphere Supply Co 14,contact14@supplierdemo.com,Phoenix,AZ,Canada
15,EcoSphere Supply Co 15,contact15@supplierdemo.com,Washington,DC,USA
16,UrbanEdge Supply Co 16,contact16@supplierdemo.com,Washington,DC,Mexico
17,Vividly Supply Co 17,contact17@supplierdemo.com,Dallas,TX,Mexico
18,Vividly Supply Co 18,contact18@supplierdemo.com,San Francisco,CA,Mexico
19,CoreFlex Supply Co 19,contact19@supplierdemo.com,San Jose,CA,Mexico
20,Purely Supply Co 20,contact20@supplierdemo.com,Charlotte,NC,USA
21,SwiftPro Supply Co 21,contact21@supplierdemo.com,Seattle,WA,Canada
22,UrbanEdge Supply Co 22,contact22@supplierdemo.com,Philadelphia,PA,Mexico
23,NovaCraft Supply Co 23,contact23@supplierdemo.com,Nashville,TN,Mexico
24,Apex Supply Co 24,contact24@supplierdemo.com,Austin,TX,Canada
25,Purely Supply Co 25,contact25@supplierdemo.com,Charlotte,NC,USA
26,Purely Supply Co 26,contact26@supplierdemo.com,San Francisco,CA,USA
27,ZenHaus Supply Co 27,contact27@supplierdemo.com,Los Angeles,CA,Canada
