product_id,product_name,category_id,supplier_id,brand,unit_cost,unit_price,status,created_date
1,NovaCraft Pet Bed 1,6,19,NovaCraft,161.45,266.30,active,2023-05-20
2,Lumina Cookware Set 2,6,67,Lumina,188.59,419.56,active,2025-02-16
3,CoreFlex Coffee Maker 3,9,25,CoreFlex,188.64,408.51,active,2024-03-21
4,ZenHaus Running Shoes 4,6,79,ZenHaus,128.03,280.71,active,2025-09-16
5,UrbanEdge Coffee Maker 5,5,1,UrbanEdge,145.08,279.46,active,2025-12-30
6,TerraWorks Face Serum 6,11,37,TerraWorks,190.16,463.84,active,2024-07-20
7,Purely Face Serum 7,3,28,Purely,63.65,104.78,active,2025-11-12
8,SwiftPro Running Shoes 8,1,36,SwiftPro,10.21,16.55,active,2025-11-05
9,EcoSphere Sunglasses 9,8,8,EcoSphere,65.17,158.06,active,2024-12-08
10,EcoSphere Board Game 10,7,57,EcoSphere,50.28,76.25,active,2024-11-05
11,BlueNest Desk Lamp 11,4,31,BlueNest,150.87,276.19,active,2024-03-20
12,BrightPath Face Serum 12,2,40,BrightPath,62.53,137.84,active,2025-08-02
13,SwiftPro Bluetooth Speaker 13,11,13,SwiftPro,183.64,503.90,active,2023-06-01
14,BlueNest Sunglasses 14,4,38,BlueNest,48.54,131.52,active,2024-09-15
15,SwiftPro Garden Hose 15,2,37,SwiftPro,177.14,428.75,active,2025-09-05
16,EverPeak Garden Hose 16,10,28,EverPeak,98.13,221.05,active,2023-04-24
17,BrightPath Desk Lamp 17,11,31,BrightPath,213.89,307.64,active,2025-08-12
18,BlueNest Board Game 18,8,47,BlueNest,196.43,544.84,active,2025-06-28
19,UrbanEdge Water Bottle 19,3,66,UrbanEdge,141.20,330.11,active,2025-09-30
20,EverPeak Coffee Maker 20,7,10,EverPeak,7.13,9.28,active,2025-08-13
21,Lumina Car Charger 21,1,10,Lumina,48.85,129.75,active,2025-04-18
22,NovaCraft Garden Hose 22,6,23,NovaCraft,70.34,152.91,active,2023-06-19
23,Lumina Office Chair 23,9,29,Lumina,77.12,181.47,active,2025-07-21
24,EcoSphere Bluetooth Speaker 24,10,76,EcoSphere,88.74,215.91,active,2024-01-08
25,UrbanEdge Mixer 25,2,44,UrbanEdge,103.43,262.05,discontinued,2023-03-31
26,TerraWorks Desk Lamp 26,2,48,TerraWorks,211.11,335.67,active,2023-02-09
27,BlueNest Headphones 27,8,33,BlueNest,122.88,227.97,active,2025-11-10
28,TerraWorks Mixer 28,12,26,TerraWorks,219.77,332.98,active,2023-08-11
29,BlueNest Smart Watch 29,9,33,BlueNest,154.18,211.16,active,2024-06-27
30,Purely Bluetooth Speaker 30,9,5,Purely,126.31,159.68,active,2023-03-13
31,EcoSphere Pet Bed 31,4,46,EcoSphere,134.86,253.60,active,2024-10-12
32,BlueNest Smart Watch 32,1,42,BlueNest,58.57,133.08,active,2024-09-29
33,ZenHaus Face Serum 33,9,11,ZenHaus,193.02,396.06,active,2025-11-07
34,BrightPath Headphones 34,11,52,BrightPath,109.92,219.12,active,2025-05-02
35,TerraWorks Office Chair 35,11,29,TerraWorks,217.62,419.00,active,2023-04-22
36,Northstar Headphones 36,11,21,Northstar,86.98,135.10,active,2024-12-23
37,BlueNest Face Serum 37,5,25,BlueNest,173.91,370.53,active,2025-12-18
38,EverPeak Pet Bed 38,6,13,EverPeak,189.89,512.57,active,2023-11-16
39,BlueNest Pet Bed 39,11,17,BlueNest,62.24,152.68,active,2024-05-09
40,Apex Mixer 40,11,48,Apex,50.93,92.83,active,2025-10-18
41,CoreFlex Pet Bed 41,11,67,CoreFlex,109.29,263.29,active,2024-08-31
42,NovaCraft Running Shoes 42,5,73,NovaCraft,8.96,19.66,active,2023-02-02
43,TerraWorks Running Shoes 43,7,54,TerraWorks,152.13,380.78,active,2024-01-02
44,BrightPath Garden Hose 44,2,57,BrightPath,67.11,151.07,active,2025-10-22
45,Purely Face Serum 45,5,38,Purely,9.84,25.34,active,2023-01-17
46,Lumina Sunglasses 46,11,9,Lumina,154.15,360.00,active,2025-12-21
47,SwiftPro Running Shoes 47,6,78,SwiftPro,130.35,297.84,active,2024-01-16
48,Vividly Smart Watch 48,8,28,Vividly,110.60,231.70,active,2023-07-22
49,UrbanEdge Board Game 49,8,33,UrbanEdge,76.27,105.18,active,2025-03-26
50,SwiftPro Desk Lamp 50,12,68,SwiftPro,158.36,421.55,active,2025-09-26
51,NovaCraft Car Charger 51,8,37,NovaCraft,217.80,335.66,active,2023-01-28
52,UrbanEdge Face Serum 52,11,72,UrbanEdge,77.90,148.37,active,2025-05-30
53,NovaCraft Office Chair 53,4,25,NovaCraft,92.51,184.46,active,2024-02-28
54,BlueNest Desk Lamp 54,10,55,BlueNest,194.86,374.07,active,2025-02-22
55,UrbanEdge Pet Bed 55,3,56,UrbanEdge,155.48,277.26,active,2024-08-23
56,BrightPath Face Serum 56,11,26,BrightPath,161.43,249.99,active,2025-09-15
