product_id,product_name,category_name,brand,units_sold,revenue,estimated_cost,gross_profit
494,CoreFlex Cookware Set 494,Books,CoreFlex,420,221709.69,90921.60,130788.09
417,UrbanEdge Board Game 417,Pets,UrbanEdge,378,214143.90,82460.70,131683.20
197,EcoSphere Bluetooth Speaker 197,Office,EcoSphere,380,208238.12,80609.40,127628.72
419,Northstar Coffee Maker 419,Fashion,Northstar,365,205860.88,79617.45,126243.43
145,Purely Mixer 145,Garden,Purely,357,190286.92,74580.87,115706.05
109,Northstar Bluetooth Speaker 109,Office,Northstar,337,185807.54,72845.92,112961.62
18,BlueNest Board Game 18,Automotive,BlueNest,350,182003.88,68750.50,113253.38
105,CoreFlex Backpack 105,Toys,CoreFlex,388,179281.98,75462.12,103819.86
375,Vividly Car Charger 375,Home & Kitchen,Vividly,368,173833.80,67840.80,105993.00
383,EcoSphere Cookware Set 383,Home & Kitchen,EcoSphere,380,169911.84,74157.00,95754.84
216,SwiftPro Desk Lamp 216,Office,SwiftPro,459,169556.66,72613.80,96942.86
364,SwiftPro Face Serum 364,Automotive,SwiftPro,394,169005.18,66310.20,102694.98
13,SwiftPro Bluetooth Speaker 13,Pets,SwiftPro,352,168630.18,64641.28,103988.90
469,EcoSphere Yoga Mat 469,Health,EcoSphere,357,167222.85,73591.98,93630.87
241,CoreFlex Face Serum 241,Sports,CoreFlex,332,164070.95,65911.96,98158.99
63,BrightPath Cookware Set 63,Beauty,BrightPath,323,163906.47,64170.41,99736.06
361,SwiftPro Desk Lamp 361,Toys,SwiftPro,343,163259.21,61911.50,101347.71
133,EcoSphere Garden Hose 133,Home & Kitchen,EcoSphere,357,162778.95,75069.96,87708.99
38,EverPeak Pet Bed 38,Books,EverPeak,332,161741.28,63043.48,98697.80
373,SwiftPro Garden Hose 373,Home & Kitchen,SwiftPro,336,158161.18,69182.40,88978.78
300,UrbanEdge Smart Watch 300,Health,UrbanEdge,350,158133.95,63203.00,94930.95
326,UrbanEdge Board Game 326,Electronics,UrbanEdge,291,157919.31,63050.97,94868.34
84,CoreFlex Desk Lamp 84,Fashion,CoreFlex,305,156733.31,63229.55,93503.76
245,UrbanEdge Travel Mug 245,Electronics,UrbanEdge,328,156447.06,70247.76,86199.30
286,Purely Car Charger 286,Garden,Purely,381,155673.77,66465.45,89208.32
372,EverPeak Car Charger 372,Health,EverPeak,373,155634.72,81164.80,74469.92
299,EcoSphere Face Serum 299,Home & Kitchen,EcoSphere,359,153869.19,64993.36,88875.83
415,Purely Notebook 415,Sports,Purely,335,153452.95,60222.95,93230.00
335,BrightPath Yoga Mat 335,Books,BrightPath,353,151625.24,72361.47,79263.77
275,Northstar Smart Watch 275,Toys,Northstar,389,151293.49,63617.06,87676.43
389,EverPeak Sunglasses 389,Office,EverPeak,362,150582.85,71111.28,79471.57
2,Lumina Cookware Set 2,Books,Lumina,379,150475.15,71475.61,78999.54
111,Apex Desk Lamp 111,Home & Kitchen,Apex,337,150117.51,58429.06,91688.45
157,TerraWorks Water Bottle 157,Electronics,TerraWorks,323,148344.07,65636.83,82707.24
123,EverPeak Sunglasses 123,Fashion,EverPeak,325,148327.93,69059.25,79268.68
115,Northstar Sunglasses 115,Home & Kitchen,Northstar,347,148132.37,66398.45,81733.92
35,TerraWorks Office Chair 35,Pets,TerraWorks,369,147676.55,80301.78,67374.77
129,BrightPath Travel Mug 129,Office,BrightPath,372,146847.75,65152.08,81695.67
497,BlueNest Running Shoes 497,Fashion,BlueNest,336,146549.26,58558.08,87991.18
15,SwiftPro Garden Hose 15,Home & Kitchen,SwiftPro,360,146075.04,63770.40,82304.64
65,Lumina Face Serum 65,Books,Lumina,359,145825.61,77906.59,67919.02
481,EcoSphere Headphones 481,Electronics,EcoSphere,363,144014.93,73634.55,70380.38
6,TerraWorks Face Serum 6,Pets,TerraWorks,331,143929.59,62942.96,80986.63
283,Lumina Mixer 283,Sports,Lumina,352,143326.47,74968.96,68357.51
73,Apex Smart Watch 73,Health,Apex,395,142501.99,61118.35,81383.64
141,BrightPath Garden Hose 141,Beauty,BrightPath,321,142396.75,53886.27,88510.48
202,ZenHaus Backpack 202,Pets,ZenHaus,362,141912.45,61460.36,80452.09
161,EverPeak Backpack 161,Garden,EverPeak,358,141104.20,61314.66,79789.54
312,BrightPath Mixer 312,Electronics,BrightPath,379,141015.11,54303.12,86711.99
254,ZenHaus Garden Hose 254,Office,ZenHaus,367,141012.77,65579.23,75433.54
453,Northstar Car Charger 453,Fashion,Northstar,298,140942.21,64189.20,76753.01
398,Apex Cookware Set 398,Office,Apex,347,140805.38,72179.47,68625.91
167,EverPeak Mixer 167,Beauty,EverPeak,331,139750.49,61470.01,78280.48
132,EverPeak Office Chair 132,Sports,EverPeak,327,138045.79,62038.44,76007.35
50,SwiftPro Desk Lamp 50,Health,SwiftPro,345,137277.59,54634.20,82643.39
203,ZenHaus Pet Bed 203,Garden,ZenHaus,333,136823.22,59823.45,76999.77
215,BlueNest Car Charger 215,Health,BlueNest,388,136806.26,77452.56,59353.70
43,TerraWorks Running Shoes 43,Toys,TerraWorks,376,136376.19,57200.88,79175.31
170,Lumina Smart Watch 170,Garden,Lumina,374,136066.75,64937.62,71129.13
418,BrightPath Mixer 418,Pets,BrightPath,350,135936.88,54561.50,81375.38
397,NovaCraft Backpack 397,Books,NovaCraft,365,135572.88,62867.60,72705.28
214,Vividly Desk Lamp 214,Garden,Vividly,336,135266.06,68742.24,66523.82
153,Lumina Board Game 153,Sports,Lumina,345,135261.54,66495.30,68766.24
404,NovaCraft Water Bottle 404,Office,NovaCraft,338,134283.52,54096.90,80186.62
459,SwiftPro Mixer 459,Beauty,SwiftPro,358,133012.09,73919.84,59092.25
500,SwiftPro Smart Watch 500,Sports,SwiftPro,337,132557.30,62567.42,69989.88
467,CoreFlex Garden Hose 467,Fashion,CoreFlex,324,132499.59,51797.88,80701.71
386,BlueNest Smart Watch 386,Fashion,BlueNest,330,132270.21,63449.10,68821.11
