warehouse_name,product_id,product_name,category_name,quantity_on_hand,reorder_level,units_below_reorder
Warehouse 1 - Jacksonville,305,TerraWorks Smart Watch 305,Sports,1,50,49
Warehouse 2 - New York,443,BlueNest Sunglasses 443,Office,1,49,48
Warehouse 8 - San Diego,328,CoreFlex Board Game 328,Home & Kitchen,4,50,46
Warehouse 5 - Seattle,356,Lumina Desk Lamp 356,Electronics,0,46,46
Warehouse 4 - Miami,243,UrbanEdge Face Serum 243,Books,0,45,45
Warehouse 3 - Los Angeles,39,BlueNest Pet Bed 39,Pets,1,45,44
Warehouse 4 - Miami,479,Purely Office Chair 479,Books,5,49,44
Warehouse 6 - Houston,428,BrightPath Water Bottle 428,Automotive,6,49,43
Warehouse 1 - Jacksonville,445,NovaCraft Cookware Set 445,Garden,6,49,43
Warehouse 3 - Los Angeles,493,Apex Travel Mug 493,Electronics,5,48,43
Warehouse 5 - Seattle,388,Northstar Travel Mug 388,Toys,6,48,42
Warehouse 5 - Seattle,373,SwiftPro Garden Hose 373,Home & Kitchen,5,46,41
Warehouse 3 - Los Angeles,256,Vividly Backpack 256,Toys,10,50,40
Warehouse 3 - Los Angeles,331,NovaCraft Yoga Mat 331,Books,10,50,40
Warehouse 7 - Dallas,10,EcoSphere Board Game 10,Toys,7,46,39
Warehouse 3 - Los Angeles,18,BlueNest Board Game 18,Automotive,5,44,39
Warehouse 8 - San Diego,214,Vividly Desk Lamp 214,Garden,11,50,39
Warehouse 6 - Houston,319,Lumina Backpack 319,Beauty,9,48,39
Warehouse 7 - Dallas,256,Vividly Backpack 256,Toys,3,41,38
Warehouse 5 - Seattle,386,BlueNest Smart Watch 386,Fashion,10,48,38
Warehouse 5 - Seattle,44,BrightPath Garden Hose 44,Home & Kitchen,11,48,37
Warehouse 6 - Houston,94,Apex Notebook 94,Home & Kitchen,0,37,37
Warehouse 8 - San Diego,200,ZenHaus Garden Hose 200,Sports,7,43,36
Warehouse 5 - Seattle,236,BrightPath Mixer 236,Pets,13,49,36
Warehouse 6 - Houston,84,CoreFlex Desk Lamp 84,Fashion,9,44,35
Warehouse 2 - New York,93,BrightPath Sunglasses 93,Pets,15,50,35
Warehouse 8 - San Diego,120,NovaCraft Board Game 120,Beauty,0,35,35
Warehouse 6 - Houston,215,BlueNest Car Charger 215,Health,9,44,35
Warehouse 5 - Seattle,310,UrbanEdge Smart Watch 310,Beauty,8,43,35
Warehouse 8 - San Diego,456,SwiftPro Smart Watch 456,Automotive,7,42,35
Warehouse 3 - Los Angeles,116,Vividly Headphones 116,Fashion,4,38,34
Warehouse 3 - Los Angeles,232,EverPeak Backpack 232,Health,13,47,34
Warehouse 1 - Jacksonville,284,Purely Face Serum 284,Garden,4,38,34
Warehouse 5 - Seattle,80,BrightPath Smart Watch 80,Fashion,4,37,33
Warehouse 7 - Dallas,124,TerraWorks Backpack 124,Home & Kitchen,12,45,33
Warehouse 2 - New York,128,Purely Pet Bed 128,Health,16,49,33
Warehouse 4 - Miami,195,BlueNest Board Game 195,Electronics,7,40,33
Warehouse 5 - Seattle,422,EcoSphere Mixer 422,Home & Kitchen,6,39,33
Warehouse 7 - Dallas,444,BrightPath Mixer 444,Garden,3,36,33
Warehouse 5 - Seattle,17,BrightPath Desk Lamp 17,Pets,6,38,32
Warehouse 1 - Jacksonville,26,TerraWorks Desk Lamp 26,Home & Kitchen,16,48,32
Warehouse 6 - Houston,55,UrbanEdge Pet Bed 55,Fashion,9,41,32
Warehouse 6 - Houston,160,BlueNest Pet Bed 160,Books,13,45,32
Warehouse 8 - San Diego,313,UrbanEdge Coffee Maker 313,Books,17,49,32
Warehouse 3 - Los Angeles,499,Northstar Yoga Mat 499,Office,16,48,32
Warehouse 3 - Los Angeles,60,Purely Garden Hose 60,Fashion,7,38,31
Warehouse 2 - New York,121,Purely Face Serum 121,Books,7,38,31
Warehouse 6 - Houston,181,CoreFlex Running Shoes 181,Books,17,48,31
Warehouse 7 - Dallas,325,TerraWorks Board Game 325,Books,2,33,31
Warehouse 6 - Houston,380,EverPeak Running Shoes 380,Pets,8,39,31
Warehouse 8 - San Diego,103,EverPeak Car Charger 103,Beauty,1,31,30
Warehouse 1 - Jacksonville,249,Northstar Water Bottle 249,Fashion,15,45,30
Warehouse 3 - Los Angeles,277,BrightPath Office Chair 277,Fashion,12,42,30
Warehouse 3 - Los Angeles,280,BlueNest Smart Watch 280,Home & Kitchen,8,38,30
Warehouse 7 - Dallas,299,EcoSphere Face Serum 299,Home & Kitchen,16,46,30
Warehouse 6 - Houston,344,Northstar Smart Watch 344,Office,13,43,30
Warehouse 7 - Dallas,347,BlueNest Sunglasses 347,Fashion,18,48,30
Warehouse 3 - Los Angeles,20,EverPeak Coffee Maker 20,Toys,14,43,29
Warehouse 8 - San Diego,66,Vividly Board Game 66,Toys,9,38,29
Warehouse 5 - Seattle,74,CoreFlex Notebook 74,Toys,6,35,29
Warehouse 4 - Miami,148,Lumina Desk Lamp 148,Sports,3,32,29
